StnCode,Lat,Long,Elev,StnName
P780,18.07502559,-66.5791349,154.0704,Cerrillos_Dam_PR_2008_CGPS
P634,37.696588,-119.025765,2468.048,Deer_Mountain_CA_2007_CGPS
P455,44.485563,-112.728534,2594.547,Bannack_Pass_ID_2007_CGPS
P463,36.02246,-117.16469,1355.0,Ballarat_CA_2007_CGPS
AB51,56.797623,-132.91356,75.8118,Petersburg_Hybrid_Monument_AK_2005_CGPS
SENU,61.0696,-47.1413,666.2,GNET-OSU/NSF/UNAVCO/DNSC/ULUX
SRMP,72.9107,-54.3937,344.0,GNET-OSU/NSF/UNAVCO/DNSC/ULUX
P576,35.669661,-120.969998,324.4109,GallegosRnCS2004
AC27,59.252508,-154.16288,417.4896,AC27MNeil_AK2004
P317,39.90567,-123.551849,1118.6669,Adanac_Ranch_Laytonville_CA_2006_CGPS
P696,46.19688124,-122.151636,1600.0084,MSH_EAST_DOME_EDM_WA_2004_CGPS
P695,46.198987,-122.164213,2015.6652,MSH_Nelson_Ridge_EDM_WA_2004_CGPS
P159,40.50478,-124.28277,608.639,Bear_River_Ridge_Ferndale_CA_2006_CGPS
P365,43.395514,-124.253466,27.472,SWOregonCC_OR_2007_CGPS
P170,40.880232,-123.863281,918.1216,Bald_Mtn_CA_2004_CGPS
P597,35.71059,-116.8884,0.0,Owlshead_Mountains_CA_2007_CGPS
TIMM,62.5355,-42.2862,314.7,GNET-OSU/NSF/UNAVCO/DNSC/ULUX
P665,40.456124,-121.525739,2327.299,Lassen_NP_Lower_Diamond_Mineral_CA_2007_CGPS
P136,38.761367,-119.458526,1773.2702,South_Camp_Canyon_NV_2006
P397,46.421615,-123.799144,566.619,Radar_Ridge_WA_2007_CGPS
P207,39.2600449085,-122.7185672244,1826.59851,Goat_Mountain_MNF_Lodoga_CA_2008_CGPS
C158,41.34664,-121.89107,1976.0,Black_Fox_Lookout_Comms_CA_2009
C159,40.59357,-121.37954,2479.0,West_Prospect_Lookout_Comms_CA_2009
P459,43.748323,-110.745796,2136.279,Moose_Pond_Grand_Teton_NP_WY_2007_CGPS
TREO,64.2771,-41.3751,122.6,GNET-OSU/NSF/UNAVCO/DNSC/ULUX
P610,34.425747,-115.763724,343.8461,American_Mine_CA_2006_CGPS
P379,44.4965,-122.577028,1222.146,Bald_Peter_Peak_Sweet_Home_OR_2006_CGPS
P596,35.998173,-116.889509,431.19,Queen_of_Sheba_Mine_CA_2007_CGPS
C018,40.64387,-124.21825,42.0,Loleta_Union_School_2006
P559,34.838909,-118.617597,927.7012,Antelope_Canyon_Neenach_CA_2005_CGPS
C166,62.516,-153.6143,367.0,Farewell_Repeater_AK2010
CSHR,46.87071886,-121.732422,2881.9853,Mt_Rainier_CampSchurman_WA_2007_VGPS
C165,60.4931,-145.4674,10.0,Cordova_DOT_AK2010
AC69,63.112613,-142.026508,644.311,Tetlin_Northway_Junction_CGPS_2006
AV21,59.370299,-153.35391,104.0157,Augustine_Mound_AK_2006_CGPS
P428,45.34456,-121.672713,1983.9296,Mountain_Meadows_Ski_Area_Mt_Hood_OR_2005_CGPS
AHID,42.773119,-111.06374,1975.5361,Auburn_Hatchery_ANSS_Station_ID_2000_CGPS
P311,37.17756281,-118.519801,3698.6484,Hunchback_CA_2008_CGPS
P651,37.563105,-118.386968,1317.341,Chalfant_Valley_CA_2006_CGPS
P650,37.891272,-118.554886,2298.795,Antelope_Mountain_CA_2006_CGPS
C144,62.93,-156.015,965.0,Tatalina_Repeater_McGrath_AK
P129,39.133889,-118.449588,1714.712,Dead_Cow_Point_NV_2007_CGPS
P039,36.448113,-103.153954,1493.5943,Clayton_Airport_Clayton_NM_2005_CGPS
P804,32.963292,-84.225776,215.74,The_Rock_DDBM_GA_2012_CGPS
P506,33.081431,-115.510197,-83.373,Ramer_Lake_Calipatria_CA_2005_CGPS
C143,56.00104,-161.20195,10.0,Nelson Lagoon Comms for Port Moller
B011,48.64954,-123.44819,22.0,PacificGeoScienceCent3_B011_Vancouver_IS_BC_2005
B010,48.65017,-123.45133,5.0,PacificGeoScienceCent2_B011_Vancouver_IS_BC_2005
P735,42.69160977,-123.230999,1577.6857,King_Mountain_Wolf_Creek_OR2008_CGPS
SMEL,39.425644,-112.844927,1422.1398,Smelter_Hinckley_UT_1996_CGPS
P727,37.273574,-118.466758,2677.844,Coyote Warp Bishop_CA_2007_CGPS
P478,33.235714,-117.071589,371.5899,ValleyCntrCS2004
P490,33.523457,-116.42589,2623.183,Toro_Peak_Anza_CA_2006_CGPS
P609,34.062681,-116.892803,2721.945,Yucaipa_Ridge_CA_2006_CGPS
C124,56.94056,-154.17483,40.0,Akhiok comms station 1 master
P211,36.87917,-121.698021,61.082,Lewis_Road_Landfill_Pajaro_CA_2007_CGPS
P028,36.031685,-107.908408,1933.1244,ChacoCnHP_NM2005
AC79,59.99787,-147.40305,287.7699,Montague_Island_2_Patton_Bay_AK_2010_CGPS
P149,39.60212988,-120.104975,2634.6887,Babbitt_Peak_Lookout_Boca_CA_2008_CGPS
THCP,35.158182,-118.414571,1652.4028,Tehachapi_Cement_Plant_CS_2000_CGPS
AC33,62.67117,-150.68506,1519.56,Tokosha_Denali_AK_2007_CGPS
P341,40.650656,-122.6069,406.8486,WhiskytownCN2005
AV03,59.381297,-153.437778,360.1705,AV03_Augustine_Volcano_AK_2004_CGPS
AV01,59.358531,-153.460801,487.2244,AV01_Augustine_Volcano_AK_2004_CGPS
P021,48.674693,-118.730253,1163.1622,RadioHill_Ferry_County_PUD_WA_2005_CGPS
AV10,54.09761,-165.933764,329.524,Akutan_SE_Slope_AK_2005_CGPS
P448,45.910579,-120.0052,261.4617,Gary_Hesse_McBride_Ranch_Alderdale_WA
C135,54.19363,-165.90341,669.0,Akutan_Volcano_repeater
ORMT,34.674904,-116.815091,1893.3457,Ord_Mountain_CS_2000_CGPS
P322,39.96214382,-123.182482,1433.9222,Lightning_Camp_Ridge_Covelo_CA_2008_CGPS
P793,40.47875341,-123.57313,709.8631,Dinsmore_2_BSM_GPS_Dinsmore_CA_2009_CGPS
P794,39.84568,-122.96376,2088.6254,Anthony_Peak_2_Deep_Snow_Covelo_CA_2009_CGPS
P092,36.80419,-117.406788,2157.714,White_Top_Mountain_Death_Valley_CA_2006_CGPS
AC30,59.855818,-147.739208,750.355,Montague_Island_Cordova_AK_2007_CGPS
B079,35.7157,-120.2057,436.6,Jack Canyon BSM
AC20,60.929208,-149.352502,43.6564,Girdwood_Junction_AK_2005_CGPS
P707,44.71877032,-111.837164,2292.8035,Red_Rock_Lake_MT_2008
BRN2,26.51964,87.27206,79.0,BRN2_CTO_NEP2009
P169,40.791144,-123.967652,689.3801,Fickle_Hill_CA_2004_CGPS
AC17,60.663904,-152.403821,882.089,Drift_River_AK_2006_CGPS
P380,42.25967,-121.779697,1390.8299,Oregon_Institute_of_Tech_Klamath_Falls_OR
P426,47.80287,-122.514569,3.657,Richard_Gordon_School_Kingston_WA_2006_CGPS
CGDM,34.24399,-117.96494,704.7019, Cogswell_Dam_CS_2000_CGPS
P434,47.7402025,-121.075609,1698.0334,Big_Chief_Mountain_Stevens_Pass_WA_2008_CGPS
P440,48.856193,-122.493341,6.3607,Meridian_School_District_Bellingham_WA_2006_CGPS
C033,43.8202,-111.783,0.0,BYU_Idaho_Relay_ID_2002
P288,36.140206,-120.8789,397.716,Mooney_Canyon_San_Ardo_CA_2006_CGPS
P807,30.494644,-98.822039,420.59,Enchanted_Rocks_State_Park_TX2012_CGPS
C029,40.38364,-123.14625,1775.0,C029_Dubakella_Mtn_STNF_Wildwood_CA_2007
AV14,54.118895,-165.841568,396.3351,Akutan_SW_of_Harbor_AK_2005_CGPS
PLPX,31.58860016,-115.151275,813.4855,Sierra_Las_Pintas_MX_BC_2010_CGPS
WINT,37.652643,-122.140567,-28.7859,WINT_BARD_CN1991
P370,42.190987,-122.656371,555.0545,Ashland_Municipal_Airport_Ashland_OR_2005_CGPS
P191,42.275351,-123.632247,371.795,Siskiyou_Research_Center_OR_CGPS_2007
VDCY,34.178565,-118.219999,318.197,Verdugo_Canyon_LBSM_CS_2000_CGPS
P805,32.96324,-84.22585,215.74,The_Rock_SDBM_GA_2012_CGPS
P703,46.1453,-122.19629,973.0,Mt_St_Helens_Climbers_Bivouac_WA_2006_CGPS
P736,42.57983,-121.88011,1260.009,Chiloquin_State Airport_OR2008_CGPS
C022,34.413361,-119.843845,9.59,UCSB_Relay_CS_2000
AC08,58.928776,-153.644676,643.662,Cape_Douglas_Katmai_NP_AK_2007_CGPS
C024,33.7126,-118.294,59.5,VTIS_San_Pedro_Relay
B072,35.831,-120.345,397.7,goldhl072bcn2007
WOMT,34.669014,-116.931665,1353.0419,West_Ord_Mountain_CS_1999_CGPS
C032,34.1675,-118.2285,241.0,Glendale_College_Relay
OPRD,34.53303,-116.29228,1400.231,29Palms_Observation_Pt_Round_CS_1999_CGPS
C036,40.4338,-119.461,0.0,Empire_Farms_Relay_NV_1996
C026,34.066056,-106.907231,0.0,Socorro_Relay_NN_2001
P338,40.747553,-122.923028,672.216,Weaverville_Airport_Weaverville_CA_2005_CGPS
P339,40.034106,-122.668234,980.049,Valentine_Ridge_Red_Bluff_CA_2007_CGPS
B927,49.2188,-124.8113,39.0,Port Alberni
P192,39.319728,-123.105188,259.7105,Potter_Valley_School_Potter_Valley_CA_2005_CGPS
GMPK,33.051085,-114.827345,591.1902,Glamis_Peak_2000_CA_CGPS
P369,43.140105,-123.42946,190.045,Wildlife_Safari_Winston_OR_2005_CGPS
C151,54.97193,-162.3248,352.0,Deer_Island_Communications
AC78,63.11349135,-142.027938,643.7176,Tetlin_2_Northway_Natives_Inc_AK_2009_CGPS
AV04,59.362584,-153.444672,915.9493,AV04AUGST_AK2004
C035,48.6519,-123.447,0.0,
